,City,place_id,lat,lon,mean_temp,mean_prob_rain,Rank
19,Cassis,297951775,43.2140359,5.5396318,34.06,0.0,1
20,Marseille,298048987,43.2961743,5.3699525,33.52,0.0,2
18,Bormes les Mimosas,298218593,43.1506968,6.3419285,31.78,0.0,3
21,Aix en Provence,298018423,43.5298424,5.4474738,35.67,0.02,4
27,Collioure,297903903,42.52505,3.0831554,29.54,0.03,5
30,Toulouse,297913876,43.6044622,1.4442469,28.94,0.04,6
26,Saintes Maries de la mer,298133731,43.4522771,4.4287172,28.59,0.04,7
28,Carcassonne,297995754,43.2130358,2.3491069,31.9,0.05,8
5,Paris,297919168,48.8534951,2.3483915,23.47,0.06,9
17,Gorges du Verdon,76057079,43.7496562,6.3285616,29.7,0.07,10
25,Aigues Mortes,298067298,43.5658225,4.1912837,30.33,0.08,11
24,Nimes,298643421,43.8374249,4.3600687,34.09,0.08,12
32,Biarritz,298725621,43.471143749999996,-1.552726590666314,21.82,0.09,13
33,Bayonne,298019575,43.4945144,-1.4736657,22.58,0.09,14
31,Montauban,298355626,44.0175835,1.3549991,28.76,0.09,15
23,Uzes,298413899,44.0121279,4.4196718,34.48,0.11,16
2,Bayeux,298563984,49.2764624,-0.7024738,21.62,0.11,17
3,Le Havre,297969319,49.4938975,0.1079732,19.82,0.12,18
22,Avignon,297965181,43.9492493,4.8059012,36.33,0.12,19
29,Ariege,297848979,42.9455368,1.4065544156065486,23.23,0.13,20
34,La Rochelle,297987288,46.1591126,-1.1520434,21.83,0.13,21
0,Mont Saint Michel,156604780,48.6359541,-1.511459954959514,21.6,0.15,22
6,Amiens,297990795,49.8941708,2.2956951,22.38,0.16,23
4,Rouen,297988461,49.4404591,1.0939658,23.33,0.16,24
1,St Malo,298187446,48.649518,-2.0260409,19.88,0.16,25
7,Lille,297939921,50.6365654,3.0635282,24.67,0.27,26
16,Lyon,298358151,45.7578137,4.8320114,32.29,0.37,27
8,Strasbourg,297970735,48.584614,7.7507127,24.86,0.43,28
9,Chateau du Haut Koenigsbourg,120722565,48.249489800000006,7.34429620253195,22.85,0.52,29
13,Dijon,297949589,47.3215806,5.0414701,25.13,0.53,30
11,Eguisheim,297958707,48.0447968,7.3079618,27.44,0.55,31
10,Colmar,297941135,48.0777517,7.3579641,27.38,0.55,32
15,Grenoble,297959613,45.1875602,5.7357819,34.13,0.6,33
12,Besancon,297963471,47.2380222,6.0243622,24.39,0.61,34
14,Annecy,298996776,45.8992348,6.1288847,29.78,0.68,35
